donor_id	region	modality	n_nodes	n_edges	n_features
donor-H20.33.028	A9	snrna	9643	115716	20
donor-H20.33.036	A9	snrna	9471	113652	20
donor-H20.33.038	A9	snrna	8478	101736	20
donor-H21.33.020	A9	snrna	3198	38376	20
donor-H21.33.034	A9	snrna	4829	57948	20
donor-H21.33.044	A9	snrna	9531	114372	20
donor-H21.33.045	A9	snrna	9080	108960	20
H19.33.004	CN	spatial	1196	23920	36
H20.33.001	CN	spatial	853	17060	36
H20.33.012	CN	spatial	2120	42400	36
H20.33.017	CN	spatial	788	15760	36
H20.33.026	CN	spatial	1784	35680	36
H20.33.031	CN	spatial	811	16220	36
H21.33.002	CN	spatial	1251	25020	36
H21.33.004	CN	spatial	1289	25780	36
H21.33.027	CN	spatial	1752	35040	36
H21.33.038	CN	spatial	1183	23660	36
donor-H20.33.008	MTG	snrna	10179	122148	20
donor-H20.33.026	MTG	snrna	6620	79440	20
donor-H20.33.028	MTG	snrna	8974	107688	20
donor-H20.33.033	MTG	snrna	5100	61200	20
donor-H20.33.035	MTG	snrna	8269	99228	20
donor-H20.33.036	MTG	snrna	6052	72624	20
donor-H20.33.037	MTG	snrna	5635	67620	20
donor-H20.33.038	MTG	snrna	3277	39324	20
donor-H20.33.045	MTG	snrna	7975	95700	20
donor-H200.1023	MTG	snrna	6314	75768	20
donor-H21.33.009	MTG	snrna	11611	139332	20
donor-H21.33.017	MTG	snrna	8152	97824	20
donor-H21.33.020	MTG	snrna	1789	21468	20
donor-H21.33.026	MTG	snrna	10624	127488	20
donor-H21.33.029	MTG	snrna	8555	102660	20
donor-H21.33.033	MTG	snrna	6311	75732	20
donor-H21.33.034	MTG	snrna	3350	40200	20
donor-H21.33.037	MTG	snrna	7995	95940	20
donor-H21.33.038	MTG	snrna	7144	85728	20
donor-H21.33.039	MTG	snrna	8821	105852	20
donor-H21.33.044	MTG	snrna	6117	73404	20
donor-H21.33.045	MTG	snrna	6682	80184	20
donor-H21.33.046	MTG	snrna	5565	66780	20
