donor_id	region	section_id	spatial_qc_h5ad	n_cells_retained	n_genes	section_pass
H19.33.004	CN	1417642334	data\interim\spatial_qc\seaad_spatial_CN_1417642334_qc_v1.h5ad	30163	541	True
H19.33.004	CN	1417642340	data\interim\spatial_qc\seaad_spatial_CN_1417642340_qc_v1.h5ad	34348	541	True
H19.33.004	CN	1417642343	data\interim\spatial_qc\seaad_spatial_CN_1417642343_qc_v1.h5ad	37065	541	True
H20.33.001	CN	1417642733	data\interim\spatial_qc\seaad_spatial_CN_1417642733_qc_v1.h5ad	26251	541	True
H20.33.001	CN	1417642736	data\interim\spatial_qc\seaad_spatial_CN_1417642736_qc_v1.h5ad	29990	541	True
H20.33.001	CN	1417642739	data\interim\spatial_qc\seaad_spatial_CN_1417642739_qc_v1.h5ad	26951	541	True
H20.33.001	CN	1417642742	data\interim\spatial_qc\seaad_spatial_CN_1417642742_qc_v1.h5ad	25537	541	True
H20.33.012	CN	1417643096	data\interim\spatial_qc\seaad_spatial_CN_1417643096_qc_v1.h5ad	53603	541	True
H20.33.012	CN	1417643099	data\interim\spatial_qc\seaad_spatial_CN_1417643099_qc_v1.h5ad	56914	541	True
H20.33.012	CN	1417643108	data\interim\spatial_qc\seaad_spatial_CN_1417643108_qc_v1.h5ad	70990	541	True
H20.33.012	CN	1417643111	data\interim\spatial_qc\seaad_spatial_CN_1417643111_qc_v1.h5ad	65742	541	True
H20.33.017	CN	1417643356	data\interim\spatial_qc\seaad_spatial_CN_1417643356_qc_v1.h5ad	38308	541	True
H20.33.017	CN	1417643359	data\interim\spatial_qc\seaad_spatial_CN_1417643359_qc_v1.h5ad	29353	541	True
H20.33.017	CN	1417643362	data\interim\spatial_qc\seaad_spatial_CN_1417643362_qc_v1.h5ad	26989	541	True
H20.33.017	CN	1417643365	data\interim\spatial_qc\seaad_spatial_CN_1417643365_qc_v1.h5ad	24960	541	True
H20.33.026	CN	1417643939	data\interim\spatial_qc\seaad_spatial_CN_1417643939_qc_v1.h5ad	46854	541	True
H20.33.026	CN	1417643942	data\interim\spatial_qc\seaad_spatial_CN_1417643942_qc_v1.h5ad	42758	541	True
H20.33.026	CN	1417643951	data\interim\spatial_qc\seaad_spatial_CN_1417643951_qc_v1.h5ad	61583	541	True
H20.33.026	CN	1417643954	data\interim\spatial_qc\seaad_spatial_CN_1417643954_qc_v1.h5ad	57163	541	True
H20.33.031	CN	1417644664	data\interim\spatial_qc\seaad_spatial_CN_1417644664_qc_v1.h5ad	26914	541	True
H20.33.031	CN	1417644667	data\interim\spatial_qc\seaad_spatial_CN_1417644667_qc_v1.h5ad	31107	541	True
H20.33.031	CN	1417644670	data\interim\spatial_qc\seaad_spatial_CN_1417644670_qc_v1.h5ad	28935	541	True
H20.33.031	CN	1417644673	data\interim\spatial_qc\seaad_spatial_CN_1417644673_qc_v1.h5ad	29382	541	True
H21.33.002	CN	1417648780	data\interim\spatial_qc\seaad_spatial_CN_1417648780_qc_v1.h5ad	52603	541	True
H21.33.002	CN	1417648783	data\interim\spatial_qc\seaad_spatial_CN_1417648783_qc_v1.h5ad	50781	541	True
H21.33.002	CN	1417648792	data\interim\spatial_qc\seaad_spatial_CN_1417648792_qc_v1.h5ad	56744	541	True
H21.33.002	CN	1417648795	data\interim\spatial_qc\seaad_spatial_CN_1417648795_qc_v1.h5ad	57174	541	True
H21.33.004	CN	1417649139	data\interim\spatial_qc\seaad_spatial_CN_1417649139_qc_v1.h5ad	37216	541	True
H21.33.004	CN	1417649142	data\interim\spatial_qc\seaad_spatial_CN_1417649142_qc_v1.h5ad	38858	541	True
H21.33.027	CN	1417649441	data\interim\spatial_qc\seaad_spatial_CN_1417649441_qc_v1.h5ad	69368	541	True
H21.33.027	CN	1417649444	data\interim\spatial_qc\seaad_spatial_CN_1417649444_qc_v1.h5ad	68486	541	True
H21.33.027	CN	1417649447	data\interim\spatial_qc\seaad_spatial_CN_1417649447_qc_v1.h5ad	48411	541	True
H21.33.027	CN	1417649450	data\interim\spatial_qc\seaad_spatial_CN_1417649450_qc_v1.h5ad	34038	541	True
H21.33.038	CN	1417649873	data\interim\spatial_qc\seaad_spatial_CN_1417649873_qc_v1.h5ad	22365	541	True
H21.33.038	CN	1417649876	data\interim\spatial_qc\seaad_spatial_CN_1417649876_qc_v1.h5ad	22926	541	True
