donor_id	region	section_id	missing_x_fraction	missing_y_fraction	missing_transcripts_fraction	missing_genes_fraction
H19.33.004	CN	1417642334	0.0	0.0	0.0	0.0
H19.33.004	CN	1417642340	0.0	0.0	0.0	0.0
H19.33.004	CN	1417642343	0.0	0.0	0.0	0.0
H20.33.001	CN	1417642733	0.0	0.0	0.0	0.0
H20.33.001	CN	1417642736	0.0	0.0	0.0	0.0
H20.33.001	CN	1417642739	0.0	0.0	0.0	0.0
H20.33.001	CN	1417642742	0.0	0.0	0.0	0.0
H20.33.012	CN	1417643096	0.0	0.0	0.0	0.0
H20.33.012	CN	1417643099	0.0	0.0	0.0	0.0
H20.33.012	CN	1417643108	0.0	0.0	0.0	0.0
H20.33.012	CN	1417643111	0.0	0.0	0.0	0.0
H20.33.017	CN	1417643356	0.0	0.0	0.0	0.0
H20.33.017	CN	1417643359	0.0	0.0	0.0	0.0
H20.33.017	CN	1417643362	0.0	0.0	0.0	0.0
H20.33.017	CN	1417643365	0.0	0.0	0.0	0.0
H20.33.026	CN	1417643939	0.0	0.0	0.0	0.0
H20.33.026	CN	1417643942	0.0	0.0	0.0	0.0
H20.33.026	CN	1417643951	0.0	0.0	0.0	0.0
H20.33.026	CN	1417643954	0.0	0.0	0.0	0.0
H20.33.031	CN	1417644664	0.0	0.0	0.0	0.0
H20.33.031	CN	1417644667	0.0	0.0	0.0	0.0
H20.33.031	CN	1417644670	0.0	0.0	0.0	0.0
H20.33.031	CN	1417644673	0.0	0.0	0.0	0.0
H21.33.002	CN	1417648780	0.0	0.0	0.0	0.0
H21.33.002	CN	1417648783	0.0	0.0	0.0	0.0
H21.33.002	CN	1417648792	0.0	0.0	0.0	0.0
H21.33.002	CN	1417648795	0.0	0.0	0.0	0.0
H21.33.004	CN	1417649139	0.0	0.0	0.0	0.0
H21.33.004	CN	1417649142	0.0	0.0	0.0	0.0
H21.33.027	CN	1417649441	0.0	0.0	0.0	0.0
H21.33.027	CN	1417649444	0.0	0.0	0.0	0.0
H21.33.027	CN	1417649447	0.0	0.0	0.0	0.0
H21.33.027	CN	1417649450	0.0	0.0	0.0	0.0
H21.33.038	CN	1417649873	0.0	0.0	0.0	0.0
H21.33.038	CN	1417649876	0.0	0.0	0.0	0.0
